Index,Time,DataIn,Alert,Score,PValue,SpikeMG,ChangePointMG
0,01/14/2024 00:00:00,6398,False,725.97119140625,0.5,0,0
1,01/14/2024 00:03:00,5866,False,-189.4736328125,1E-08,0,0
2,01/14/2024 00:06:00,6019,False,-473.43798828125,0.1359467529613192,0,0
3,01/14/2024 00:09:00,6113,False,756.765625,0.17211906558259826,0,0
4,01/14/2024 00:12:00,6226,False,-683.58447265625,0.13546360462050033,0,0
5,01/14/2024 00:15:00,6053,False,514.814453125,0.2977179138672758,0,0
6,01/14/2024 00:18:00,5903,False,-341.65234375,0.3067802708411952,0,0
7,01/14/2024 00:21:00,6531,False,327.6201171875,0.3680615448032192,0,0
8,01/14/2024 00:24:00,5847,False,143.34130859375,0.47022312600464927,0,0
9,01/14/2024 00:27:00,5831,False,-849.64404296875,0.09841625840073687,0,0
10,01/14/2024 00:30:00,6376,False,918.0478515625,0.12483326561590297,0,0
11,01/14/2024 00:33:00,6605,False,180.27783203125,0.45823277169242516,0,0
12,01/14/2024 00:36:00,6589,False,574.7138671875,0.28390408365227626,0,0
13,01/14/2024 00:39:00,5221,False,-967.23046875,0.09144211116714351,0,0
14,01/14/2024 00:42:00,6490,False,413.32470703125,0.35052712964758836,0,0
15,01/14/2024 00:45:00,6528,False,736.3779296875,0.22512155408807655,0,0
16,01/14/2024 00:48:00,5451,False,-930.759765625,0.12008640333895348,0,0
17,01/14/2024 00:51:00,6417,False,326.2373046875,0.39771924645915857,0,0
18,01/14/2024 00:54:00,5391,False,-583.408203125,0.23641472585530088,0,0
19,01/14/2024 00:57:00,7112,False,1040.88232421875,0.12551688578875625,0,0
20,01/14/2024 01:00:00,5793,False,-465.69775390625,0.27986993942079397,0,0
21,01/14/2024 01:03:00,6057,False,158.279296875,0.465261897302121,0,0
22,01/14/2024 01:06:00,6189,False,-264.88671875,0.35798891870300964,0,0
23,01/14/2024 01:09:00,5393,False,-113.13427734375,0.4261123860385079,0,0
24,01/14/2024 01:12:00,6621,False,3.3388671875,0.4796079115651456,0,0
25,01/14/2024 01:15:00,6075,False,213.126953125,0.42451430910687854,0,0
26,01/14/2024 01:18:00,6452,False,460.55029296875,0.3155714544144744,0,0
27,01/14/2024 01:21:00,5451,False,-1219.45068359375,0.05998351113782974,0,0
28,01/14/2024 01:24:00,6664,False,1362.9453125,0.054435463185486255,0,0
29,01/14/2024 01:27:00,5920,False,-789.16845703125,0.1823691397233309,0,0
30,01/14/2024 01:30:00,6303,False,509.7548828125,0.3108420268690647,0,0
31,01/14/2024 01:33:00,5717,False,-466.3017578125,0.2918687376869964,0,0
32,01/14/2024 01:36:00,6204,False,-134.57861328125,0.4274444920774535,0,0
33,01/14/2024 01:39:00,6507,False,990.8466796875,0.14531220482350143,0,0
34,01/14/2024 01:42:00,6189,False,-531.36279296875,0.26688124853220685,0,0
35,01/14/2024 01:45:00,5793,False,-86.244140625,0.4471033399078098,0,0
36,01/14/2024 01:48:00,6092,False,-127.875,0.43074484487174125,0,0
37,01/14/2024 01:51:00,5847,False,48.44873046875,0.4916726984610551,0,0
38,01/14/2024 01:54:00,6094,False,-249.9814453125,0.3783599322070561,0,0
39,01/14/2024 01:57:00,6075,False,-33.99609375,0.4759619416013493,0,0
40,01/14/2024 02:00:00,5713,False,-512.2724609375,0.2715357155856959,0,0
41,01/14/2024 02:03:00,6910,False,992.7060546875,0.12897441736249432,0,0
42,01/14/2024 02:06:00,6359,False,320.02587890625,0.3717145984351219,0,0
43,01/14/2024 02:09:00,5847,False,-687.01904296875,0.20476185520518886,0,0
44,01/14/2024 02:12:00,6113,False,413.6162109375,0.3285152431909234,0,0
45,01/14/2024 02:15:00,5578,False,-819.41357421875,0.16570603936117967,0,0
46,01/14/2024 02:18:00,6378,False,519.1318359375,0.2845716273185039,0,0
47,01/14/2024 02:21:00,5657,False,-649.01171875,0.22503909721507798,0,0
48,01/14/2024 02:24:00,6587,False,464.12744140625,0.3047947984941296,0,0
49,01/14/2024 02:27:00,5942,False,-248.380859375,0.38367255991534743,0,0
50,01/14/2024 02:30:00,5922,False,-90.7275390625,0.4551881244779842,0,0
51,01/14/2024 02:33:00,6303,False,218.39892578125,0.4046323610999101,0,0
52,01/14/2024 02:36:00,6206,False,32.21630859375,0.49078752970538014,0,0
53,01/14/2024 02:39:00,5963,False,-207.60205078125,0.3984544612629244,0,0
54,01/14/2024 02:42:00,5788,False,-531.72900390625,0.2609889344048728,0,0
55,01/14/2024 02:45:00,5961,False,309.5751953125,0.35546610313389687,0,0
56,01/14/2024 02:48:00,6701,False,226.74658203125,0.39494710291699003,0,0
57,01/14/2024 02:51:00,6536,False,304.4873046875,0.3609568354997087,0,0
58,01/14/2024 02:54:00,5920,False,33.9658203125,0.4907565512085389,0,0
59,01/14/2024 02:57:00,6072,False,-322.90625,0.339662044828956,0,0
60,01/14/2024 03:00:00,6131,False,561.802734375,0.24744805082321253,0,0
61,01/14/2024 03:03:00,6021,False,-790.81787109375,0.15788898626977965,0,0
62,01/14/2024 03:06:00,6189,False,237.1865234375,0.3888503432522393,0,0
63,01/14/2024 03:09:00,6107,False,116.5537109375,0.4480932241506941,0,0
64,01/14/2024 03:12:00,6115,False,-126.240234375,0.4320275760582011,0,0
65,01/14/2024 03:15:00,6834,False,803.81787109375,0.1587218324726944,0,0
66,01/14/2024 03:18:00,5903,False,-464.04638671875,0.2738630130622598,0,0
67,01/14/2024 03:21:00,5791,False,-263.328125,0.3662365526212319,0,0
68,01/14/2024 03:24:00,5939,False,-101.0791015625,0.44629809702271905,0,0
