Index,Time,DataIn,Alert,Score,PValue,SpikeMG,ChangePointMG
77,01/14/2024 03:51:00,6303,False,6303,0.35860425524314743,0,0
78,01/14/2024 03:54:00,6318,False,6318,0.3494179081802294,0,0
79,01/14/2024 03:57:00,6415,False,6415,0.2846685491537354,0,0
80,01/14/2024 04:00:00,6303,False,6303,0.3648027141664653,0,0
81,01/14/2024 04:03:00,5505,False,5505,0.11814702003443456,0,0
82,01/14/2024 04:06:00,6376,False,6376,0.3114431700709751,0,0
83,01/14/2024 04:09:00,6363,False,6363,0.3223975678284381,0,0
84,01/14/2024 04:12:00,6074,False,6074,0.4591943960703978,0,0
85,01/14/2024 04:15:00,6626,False,6626,0.16463435129580795,0,0
86,01/14/2024 04:18:00,5677,False,5677,0.19362922873800947,0,0
87,01/14/2024 04:21:00,5849,False,5849,0.2987069244581264,0,0
88,01/14/2024 04:24:00,6490,False,6490,0.23941549094865483,0,0
89,01/14/2024 04:27:00,5862,False,5862,0.3064057540913149,0,0
90,01/14/2024 04:30:00,6245,False,6245,0.407906343683649,0,0
91,01/14/2024 04:33:00,6134,False,6134,0.4936636672180822,0,0
92,01/14/2024 04:36:00,6417,False,6417,0.2846061830773509,0,0
93,01/14/2024 04:39:00,6090,False,6090,0.4690171871069615,0,0
94,01/14/2024 04:42:00,5408,False,5408,0.08300581027520104,0,0
95,01/14/2024 04:45:00,6191,False,6191,0.4475091577158232,0,0
96,01/14/2024 04:48:00,6303,False,6303,0.36318572903195256,0,0
97,01/14/2024 04:51:00,5961,False,5961,0.37410898702621675,0,0
98,01/14/2024 04:54:00,5957,False,5957,0.3721724753023229,0,0
99,01/14/2024 04:57:00,6667,False,6667,0.139092055789114,0,0
100,01/14/2024 05:00:00,6396,False,6396,0.2987380628096949,0,0
101,01/14/2024 05:03:00,6075,False,6075,0.45657009289857275,0,0
102,01/14/2024 05:06:00,6094,False,6094,0.47170544783062773,0,0
103,01/14/2024 05:09:00,5978,False,5978,0.3823091271522283,0,0
104,01/14/2024 05:12:00,5885,False,5885,0.31547451885531574,0,0
105,01/14/2024 05:15:00,6511,False,6511,0.2190406275699452,0,0
106,01/14/2024 05:18:00,5907,False,5907,0.3299793500926802,0,0
107,01/14/2024 05:21:00,5748,False,5748,0.22687364055598525,0,0
108,01/14/2024 05:24:00,6869,False,6869,0.06689427647255142,0,0
109,01/14/2024 05:27:00,5563,False,5563,0.13613948059097125,0,0
110,01/14/2024 05:30:00,6305,False,6305,0.3609602311075739,0,0
111,01/14/2024 05:33:00,6550,False,6550,0.20203218770649617,0,0
112,01/14/2024 05:36:00,5543,False,5543,0.12952112550083406,0,0
113,01/14/2024 05:39:00,6548,False,6548,0.20501100389023458,0,0
114,01/14/2024 05:42:00,6568,False,6568,0.19676642272086142,0,0
115,01/14/2024 05:45:00,6075,False,6075,0.45606930128501144,0,0
116,01/14/2024 05:48:00,6376,False,6376,0.31808010741419324,0,0
117,01/14/2024 05:51:00,4995,False,4995,0.01506276657152672,0,0
118,01/14/2024 05:54:00,6814,False,6814,0.09460649072340971,0,0
119,01/14/2024 05:57:00,6475,False,6475,0.26090879347239004,0,0
