Time,In,Out,UtilIn,UtilOut,Error,Discards,SpikeMG,ChangePointMG
14/Jan/2024 03:12:00,6115,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:15:00,6834,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:18:00,5903,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:21:00,5791,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:24:00,5939,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:27:00,6189,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:30:00,6307,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:33:00,5941,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:36:00,6400,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:39:00,6391,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:42:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:45:00,6303,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:48:00,5261,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:51:00,6303,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:54:00,6318,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 03:57:00,6415,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:00:00,6303,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:03:00,5505,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:06:00,6376,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:09:00,6363,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:12:00,6074,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:15:00,6626,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:18:00,5677,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:21:00,5849,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:24:00,6490,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:27:00,5862,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:30:00,6245,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:33:00,6134,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:36:00,6417,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:39:00,6090,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:42:00,5408,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:45:00,6191,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:48:00,6303,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:51:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:54:00,5957,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 04:57:00,6667,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:00:00,6396,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 05:03:00,6075,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
